text_id,text,category,word_count,readability_score,keywords
text_727,The patient's condition was characterized by myalgia and laboratory evidence of fracture. Treatment with tendon repair was initiated with good clinical response. The patient was advised to return if symptoms worsen. Recent imaging studies were reviewed during the consultation. Previous treatments have been unsuccessful. The patient reports gradual improvement with the current treatment. Recent lab work showed improvement in relevant markers. The patient's symptoms have been progressively worsening. Long-term prognosis was discussed with the patient. Preventive measures were emphasized during the consultation. The patient was advised to return if symptoms worsen. Recent imaging studies were reviewed during the consultation. The condition is consistent with spinal. Previous treatments have been unsuccessful. The patient reports gradual,Musculoskeletal,114,63,"myalgia, fracture, tendon repair, tendon, spinal"
text_538,Follow-up evaluation for glandular showed persistent fatigue despite levothyroxine. Adjustments to the treatment regimen are recommended. The patient was referred to a specialist for further evaluation. The patient was advised to return if symptoms worsen. The patient's vital signs were within normal limits. The patient denies any allergies to medications. Preventive measures were emphasized during the consultation. Potential side effects of the medication were explained. Lifestyle modifications were discussed with the patient. The patient's condition appears to be chronic in nature. The patient was instructed on proper use of prescribed medications. Follow-up appointment was scheduled for next month. Previous treatments have been unsuccessful. Patient education materials were provided. The patient's response to previous interventions,Endocrine,114,63,"levothyroxine, glandular, fatigue"
text_902,Patient presents with myalgia and fatigue. Initial assessment indicates possible contagious. Further tests including antifungals are recommended. Patient education materials were provided. Medication compliance has been an issue for this patient. Laboratory findings were unremarkable. Recent imaging studies were reviewed during the consultation. A comprehensive treatment plan was developed. The patient's condition appears to be chronic in nature. The patient was advised to return if symptoms worsen. Differential diagnosis includes several possibilities. No significant family history was reported. Previous treatments have been unsuccessful. The patient denies any allergies to medications. The patient's response to previous interventions was evaluated. Long-term prognosis was discussed with the patient. The patient's symptoms have been progressively worsening. The patient,Infectious,114,59,"antifungals, myalgia, contagious, fatigue, fungal"
text_251,Follow-up evaluation for hepatic showed persistent constipation despite proton pump inhibitors. Adjustments to the treatment regimen are recommended. The patient's symptoms have been progressively worsening. Follow-up appointment was scheduled for next month. Differential diagnosis includes several possibilities. Laboratory findings were unremarkable. A comprehensive treatment plan was developed. Medication compliance has been an issue for this patient. The patient reports gradual improvement with the current treatment. The patient was advised to return if symptoms worsen. The patient's response to previous interventions was evaluated. Preventive measures were emphasized during the consultation. The patient was instructed on proper use of prescribed medications. Long-term prognosis was discussed with the patient. Lifestyle modifications were discussed with the patient. The,Gastrointestinal,114,62,"proton pump inhibitors, constipation, hepatic"
text_919,A 77-year-old male with a history of malaria was admitted complaining of sore throat and swollen lymph nodes. The patient has been started on prophylaxis and antifungals. Medication compliance has been an issue for this patient. A comprehensive treatment plan was developed. Differential diagnosis includes several possibilities. The patient was instructed on proper use of prescribed medications. The patient's vital signs were within normal limits. Long-term prognosis was discussed with the patient. The patient was referred to a specialist for further evaluation. Laboratory findings were unremarkable. The patient reports gradual improvement with the current treatment. No significant family history was reported. The patient denies any allergies to medications. The patient exhibited signs of lymphadenopathy.,Infectious,114,63,"antifungals, lymphadenopathy, sore throat, prophylaxis, malaria"
text_730,Follow-up evaluation for bursitis showed persistent redness despite physical therapy. Adjustments to the treatment regimen are recommended. Follow-up appointment was scheduled for next month. The patient's response to previous interventions was evaluated. Potential side effects of the medication were explained. The patient reports gradual improvement with the current treatment. Recent imaging studies were reviewed during the consultation. The patient's symptoms have been progressively worsening. The condition is consistent with cartilage. The patient exhibited signs of muscle pain. Follow-up appointment was scheduled for next month. The patient's response to previous interventions was evaluated. Potential side effects of the medication were explained. The patient reports gradual improvement with the current treatment. The patient exhibited signs of,Musculoskeletal,114,63,"cartilage, muscle pain, bursitis, physical therapy, redness"
text_425,A 56-year-old female with a history of meningeal was admitted complaining of tingling and dysphagia. The patient has been started on dopamine agonists and cholinesterase inhibitors. Previous treatments have been unsuccessful. Recent imaging studies were reviewed during the consultation. Potential side effects of the medication were explained. A comprehensive treatment plan was developed. The patient's symptoms have been progressively worsening. Recent lab work showed improvement in relevant markers. The patient's response to previous interventions was evaluated. No significant family history was reported. Current management focuses on symptom control. Risk factors for complications were discussed in detail. Previous treatments have been unsuccessful. Recent imaging studies were reviewed during the consultation. Potential side effects of the,Neurological,114,63,"meningeal, tingling, cholinesterase inhibitors, dopamine agonists, dysphagia"
text_945,A 56-year-old female with a history of parasitic was admitted complaining of chills and lymphadenopathy. The patient has been started on antimicrobial therapy and contact tracing. The patient was instructed on proper use of prescribed medications. Risk factors for complications were discussed in detail. The patient's response to previous interventions was evaluated. Medication compliance has been an issue for this patient. Follow-up appointment was scheduled for next month. The patient was referred to a specialist for further evaluation. Recent lab work showed improvement in relevant markers. The patient's symptoms have been progressively worsening. Recent imaging studies were reviewed during the consultation. Preventive measures were emphasized during the consultation. A comprehensive treatment plan was developed.,Infectious,114,66,"chills, lymphadenopathy, antimicrobial therapy, parasitic, contact tracing"
text_396,A 56-year-old female with a history of brain was admitted complaining of tremor and difficulty speaking. The patient has been started on deep brain stimulation and antipsychotics. Risk factors for complications were discussed in detail. No significant family history was reported. Current management focuses on symptom control. Potential side effects of the medication were explained. The patient was instructed on proper use of prescribed medications. The patient's response to previous interventions was evaluated. Follow-up appointment was scheduled for next month. A comprehensive treatment plan was developed. Lifestyle modifications were discussed with the patient. Preventive measures were emphasized during the consultation. Risk factors for complications were discussed in detail. The condition is consistent with spinal.,Neurological,114,64,"tremor, deep brain stimulation, brain, spinal, difficulty speaking"
text_498,Physical examination revealed diplopia and seizure. Patient was diagnosed with meningeal and prescribed cognitive therapy and cognitive therapy. The patient's condition appears to be chronic in nature. Differential diagnosis includes several possibilities. Recent imaging studies were reviewed during the consultation. Follow-up appointment was scheduled for next month. The patient was advised to return if symptoms worsen. Recent lab work showed improvement in relevant markers. Medication compliance has been an issue for this patient. The patient was instructed on proper use of prescribed medications. The patient's symptoms have been progressively worsening. Preventive measures were emphasized during the consultation. A comprehensive treatment plan was developed. Risk factors for complications were discussed in detail. Current management focuses,Neurological,114,63,"meningeal, cognitive therapy, seizure, diplopia"
